year	coal	natural gas	petroleum	biomass
1949	1118	270	820	145
1950	1152	313	918	147
1951	1167	370	990	144
1952	1052	396	1025	138
1953	1057	415	1065	133
1954	904	437	1081	131
1955	1038	472	1175	134
1956	1055	504	1218	133
1957	1004	535	1218	125
1958	887	560	1256	124
1959	885	615	1307	127
1960	915	650	1349	124
1961	895	679	1369	121
1962	922	721	1422	122
1963	969	756	1459	124
1964	1019	803	1495	125
1965	1075	828	1559	125
1966	1127	892	1635	128
1967	1107	942	1701	126
1968	1146	1008	1810	133
1969	1148	1085	1901	135
1970	1134	1144	1983	134
1971	1076	1180	2056	134
1972	1121	1192	2219	141
1973	1207	1181	2346	143
1974	1185	1140	2248	144
1975	1181	1047	2209	141
1976	1266	1068	2372	161
1977	1300	1046	2500	172
1978	1298	1050	2548	191
1979	1410	1085	2469	202
1980	1436	1063	2272	232
1981	1485	1036	2122	240
1982	1433	963	2011	244
1983	1488	901	1995	264
1984	1598	962	2053	267
1985	1638	926	2035	270
1986	1617	866	2125	260
1987	1691	920	2152	253
1988	1775	962	2246	266
1989	1795	1022	2246	278
1990	1821	1025	2187	237
1991	1807	1047	2134	239
1992	1822	1082	2180	250
1993	1882	1110	2184	246
1994	1893	1134	2221	255
1995	1913	1184	2207	260
1996	1995	1205	2290	266
1997	2040	1211	2313	259
1998	2064	1189	2358	242
1999	2062	1192	2417	245
2000	2155	1241	2461	248
2001	2088	1187	2473	231
2002	2095	1227	2472	235
2003	2136	1191	2518	240
2004	2160	1195	2609	255
2005	2182	1175	2628	261
2006	2147	1158	2603	266
2007	2172	1233	2603	274
2008	2139	1243	2444	289
2009	1876	1222	2320	284
2010	1988	1265	2349	304
2011	1874	1296	2299	311
